Transaction_ID,Date,Vendor_ID,Vendor_Country,Commodity,Volume_MT,Market_Spot_Price,Unit_Price_USD,Total_Value_USD,Payment_Method,Flag_Sanction,Price_Variance_Pct,Flag_Price_Anomaly,Flag_Smurfing,Suspicious_Score
TRX_013854,2023-01-01 00:00:00,VND_0032,Germany,Silver_Ingot,150.69,24.06,24.02,3620.26,Open_Account,FALSE,0.00166251039068991,FALSE,TRUE,1
TRX_014198,2023-01-01 00:00:00,VND_0105,Singapore,Silver_Ingot,223.8,24.06,23.86,5340.69,Wire,FALSE,0.00831255195344968,FALSE,TRUE,1
TRX_001362,2023-01-01 00:00:00,VND_0028,Germany,Copper_Cathode,330.82,3.77,3.84,1270.39,Letter_of_Credit,FALSE,0.0185676392572944,FALSE,TRUE,1
TRX_010551,2023-01-01 00:00:00,VND_0144,Australia,Gold_Bullion,3785.62,1839.7,1853.86,7017984.12,Letter_of_Credit,FALSE,0.00769690710441912,FALSE,FALSE,0
TRX_010281,2023-01-01 00:00:00,VND_0165,Canada,Gold_Bullion,5777.6,1839.7,1862.6,10761366.36,Letter_of_Credit,FALSE,0.0124476816872315,FALSE,FALSE,0
TRX_001619,2023-01-01 00:00:00,VND_0145,Sanctioned_Proxy_Alpha,Aluminum_Ingot,150.46,2325.25,2283.22,343539.81,Open_Account,TRUE,0.0180754757552952,FALSE,FALSE,1
TRX_014824,2023-01-01 00:00:00,VND_0107,Singapore,Aluminum_Ingot,484.81,2325.25,2349.45,1139032.61,Open_Account,FALSE,0.0104074830663369,FALSE,FALSE,0
TRX_002415,2023-01-01 00:00:00,VND_0224,United Arab Emirates,Gold_Bullion,1412.43,1839.7,1841.42,2600879.44,Letter_of_Credit,FALSE,0.000934935043757149,FALSE,FALSE,0
TRX_005570,2023-01-01 00:00:00,VND_0095,Singapore,Gold_Bullion,463.42,1839.7,1806.58,837212.88,Letter_of_Credit,FALSE,0.018002935261184,FALSE,FALSE,0
TRX_009750,2023-01-01 00:00:00,VND_0095,Singapore,Copper_Cathode,330.55,3.77,3.78,1250.35,Letter_of_Credit,FALSE,0.00265251989389915,FALSE,TRUE,1
TRX_011049,2023-01-01 00:00:00,VND_0198,Japan,Aluminum_Ingot,872.16,2325.25,2291.34,1998414.22,Open_Account,FALSE,0.0145833781313837,FALSE,FALSE,0
TRX_003092,2023-01-01 00:00:00,VND_0139,Australia,Gold_Bullion,201.22,1839.7,1871.56,376591.96,Letter_of_Credit,FALSE,0.0173180409849431,FALSE,FALSE,0
TRX_013338,2023-01-01 00:00:00,VND_0219,Singapore,Gold_Bullion,58.87,1839.7,1864.29,109746.27,Open_Account,FALSE,0.0133663097244115,FALSE,FALSE,0
TRX_002211,2023-01-01 00:00:00,VND_0042,Australia,Gold_Bullion,411.49,1839.7,1868.91,769041.98,Letter_of_Credit,FALSE,0.0158775887372941,FALSE,FALSE,0
TRX_004653,2023-01-01 00:00:00,VND_0065,United Arab Emirates,Copper_Cathode,295.29,3.77,3.74,1103.66,Wire,FALSE,0.00795755968169756,FALSE,TRUE,1
TRX_004087,2023-01-01 00:00:00,VND_0113,Canada,Gold_Bullion,2412.6,1839.7,1862.71,4493958.16,Wire,FALSE,0.0125074740446812,FALSE,FALSE,0
TRX_004921,2023-01-01 00:00:00,VND_0166,Canada,Gold_Bullion,706.29,1839.7,1806.74,1276077.89,Open_Account,FALSE,0.0179159645594391,FALSE,FALSE,0
TRX_000088,2023-01-01 00:00:00,VND_0211,Japan,Silver_Ingot,1436.99,24.06,23.87,34301.43,Wire,FALSE,0.00789692435577713,FALSE,FALSE,0
TRX_008327,2023-01-01 00:00:00,VND_0014,Japan,Gold_Bullion,4069.64,1839.7,1838.3,7481240.02,Letter_of_Credit,FALSE,0.000760993640267484,FALSE,FALSE,0
TRX_004981,2023-01-01 00:00:00,VND_0129,Canada,Gold_Bullion,200.77,1839.7,1850.64,371552.5,Wire,FALSE,0.00594662173180413,FALSE,FALSE,0
TRX_002953,2023-01-01 00:00:00,VND_0029,Singapore,Gold_Bullion,403.36,1839.7,1854.66,748092.44,Wire,FALSE,0.00813176061314347,FALSE,FALSE,0
